scene,block,config,model,images_registered,registration_ratio,points_3d,mean_reprojection_error,total_observations,obs_per_point,avg_track_length,execution_time_sec
bonsai,1_CameraModels,Cam_Pinhole,PINHOLE,292,1.0,72239,0.7960425345659307,622338,8.614986364706045,8.614986364706045,3597.842511177063
bonsai,1_CameraModels,Cam_OpenCV,OPENCV,292,1.0,100055,0.37947197714181563,956584,9.560581680075959,9.560581680075959,2441.9790024757385
bonsai,2_SiftExtraction,Ext_LowFeatures,OPENCV,292,1.0,94397,0.3817233822549913,850643,9.011335105988538,9.011335105988538,1961.334172964096
bonsai,3_SiftMatching,Match_Strict,OPENCV,292,1.0,97738,0.3422379286053515,949139,9.711054042439992,9.711054042439992,2201.38871383667
bonsai,3_SiftMatching,Match_Loose,OPENCV,292,1.0,100362,0.38758460729555033,952932,9.494948287200335,9.494948287200335,2712.299212694168
bonsai,4_Mapper,Map_Robust,OPENCV,292,1.0,99756,0.3802468628983965,955850,9.581879786679497,9.581879786679497,2337.327977180481
garden,1_CameraModels,Cam_Pinhole,PINHOLE,185,-,146174,1.2350049195194188,-,-,6.648576354207998,4036.3002417087555
garden,1_CameraModels,Cam_OpenCV,OPENCV,185,1.0,146102,1.2353113017327755,971808,6.651572189292412,6.651572189292412,4814.5859134197235
garden,2_SiftExtraction,Ext_LowFeatures,OPENCV,185,1.0,81707,1.324994157053736,512722,6.275129425875384,6.275129425875384,2053.6903398036957
garden,3_SiftMatching,Match_Strict,OPENCV,185,1.0,130303,1.1651938211609643,907479,6.9643753405524045,6.9643753405524045,4468.464631557465
garden,3_SiftMatching,Match_Loose,OPENCV,185,1.0,148352,1.2365228944938558,976728,6.583854616048318,6.583854616048318,4160.780422210693
garden,4_Mapper,Map_Robust,OPENCV,185,1.0,146002,1.2352360416443946,971617,6.6548197969890825,6.6548197969890825,4036.4610295295715